SIMPLE                                            ,               Beeatriz-Castro,               CarlaCristinaSA,                 ClidenorFilho,                 Douglas-glith,              EduardoAlmeida10,               Emilly-Pinheiro,                     GuibasURL,               HenriqueSenaDev,                        JGCL24,                 Joao-Vitor-Rd,                 KeltonMartins,              Layssaoliveira26,                       Lipez-x,         Paulo-Sergio-Oliveira,                 Randson-Silva,                     TobiasTac,                     Victorbvc,                      abebuh21,                  alvesmaarcos,                     anaradlei,                 annabeatryz31,                 cauanrricardo,              davyanastaciodev,                     dsfacundo,               eduardaffreitas,                  fco-henrique,                gabrielrbsousa,                      harielfr,                higormcarnauba,                   jppiauilino,                   kawantorres,                kaylannesatiro,              lizandrapinheiro,                         mczm9,                   pamellaneco,                  rudriguu2099
+:2:triangulo                                     ,100% 55how 143m 120/060ex 096%,                           ---,100% 34how 033m 016/008ex 082%,100% 34how 080m 088/044ex 082%,100% 34how 075m 024/012ex 082%,100% 33how 119m 038/019ex 045%,100% 55how 083m 049/023ex 096%,100% 55how 054m 008/004ex 096%,100% 45how 030m 015/007ex 082%,100% 55how 050m 012/006ex 096%,100% 55how 012m 006/003ex 096%,100% 65how 121m 093/046ex 100%,100% 55how 058m 018/009ex 096%,100% 55how 061m 039/019ex 096%,100% 55how 048m 008/002ex 096%,100% 65how 026m 004/002ex 100%,100% 43how 032m 014/007ex 045%,100% 55how 087m 010/005ex 096%,100% 34how 041m 008/004ex 082%,100% 55how 032m 035/034ex 096%,100% 34how 027m 002/001ex 082%,100% 35how 035m 014/007ex 082%,                           ---,100% 34how 075m 054/024ex 082%,                           ---,100% 55how 039m 004/002ex 096%,                           ---,100% 35how 060m 016/008ex 082%,100% 54how 085m 018/009ex 096%,100% 44how 038m 008/004ex 082%,100% 00how 100m 046/023ex 000%,100% 35how 048m 018/009ex 082%,100% 55how 072m 030/015ex 096%,100% 44how 114m 026/013ex 082%,100% 44how 020m 006/003ex 082%,100% 55how 069m 038/019ex 096%
+:4:treinando                                     ,100% 45how 071m 028/014ex 082%,                           ---,100% 44how 047m 024/012ex 082%,100% 25how 152m 197/094ex 082%,100% 55how 207m 048/024ex 096%,000% 00how 046m 000/000ex 000%,100% 55how 113m 050/025ex 096%,100% 55how 136m 020/010ex 096%,100% 55how 109m 048/024ex 096%,100% 54how 157m 098/049ex 096%,100% 24how 348m 078/039ex 082%,100% 55how 297m 102/051ex 096%,100% 55how 160m 084/042ex 096%,100% 65how 366m 120/060ex 100%,080% 54how 023m 016/008ex 082%,100% 55how 335m 134/067ex 096%,100% 44how 026m 022/011ex 082%,000% 00how 035m 016/008ex 000%,090% 33how 117m 004/002ex 032%,100% 55how 133m 030/028ex 096%,080% 44how 064m 028/014ex 053%,100% 44how 147m 059/028ex 082%,                           ---,100% 34how 112m 028/014ex 082%,                           ---,100% 55how 126m 036/018ex 096%,000% 00how 055m 046/021ex 000%,100% 45how 243m 088/044ex 082%,100% 65how 065m 024/012ex 100%,100% 33how 013m 008/004ex 045%,100% 44how 138m 059/029ex 082%,000% 00how 095m 042/021ex 000%,100% 55how 094m 026/013ex 096%,100% 44how 009m 025/011ex 082%,080% 54how 185m 037/018ex 082%,100% 44how 137m 092/044ex 082%
+:1:resto                                         ,100% 55how 059m 056/028ex 096%,                           ---,100% 65how 008m 012/006ex 100%,100% 65how 078m 042/021ex 100%,100% 55how 044m 020/010ex 096%,100% 65how 022m 014/007ex 100%,100% 55how 036m 016/008ex 096%,100% 55how 020m 010/005ex 096%,100% 55how 070m 020/010ex 096%,100% 65how 007m 008/004ex 100%,100% 65how 016m 004/002ex 100%,100% 65how 160m 021/009ex 100%,100% 65how 014m 004/002ex 100%,100% 65how 016m 011/005ex 100%,100% 65how 003m 002/001ex 100%,100% 55how 010m 010/005ex 096%,100% 65how 005m 006/003ex 100%,100% 53how 105m 026/013ex 075%,100% 65how 021m 006/003ex 100%,100% 65how 059m 007/006ex 100%,100% 45how 016m 002/001ex 082%,100% 44how 002m 008/004ex 082%,                           ---,100% 44how 095m 008/004ex 082%,                           ---,100% 65how 023m 008/004ex 100%,                           ---,100% 34how 029m 013/012ex 082%,100% 65how 008m 004/002ex 100%,100% 65how 005m 004/002ex 100%,000% 00how 002m 023/006ex 000%,100% 65how 024m 032/016ex 100%,100% 55how 003m 002/001ex 096%,                           ---,100% 44how 018m 004/002ex 082%,100% 65how 000m 002/001ex 100%
+:1:mdc                                           ,100% 55how 055m 010/005ex 096%,                           ---,100% 65how 014m 012/006ex 100%,100% 65how 007m 006/003ex 100%,100% 55how 021m 016/008ex 096%,100% 65how 026m 012/006ex 100%,100% 55how 040m 026/013ex 096%,100% 65how 009m 002/001ex 100%,100% 55how 021m 008/004ex 096%,100% 55how 006m 010/005ex 096%,100% 65how 010m 002/001ex 100%,100% 65how 013m 020/010ex 100%,100% 65how 010m 006/003ex 100%,100% 65how 012m 009/004ex 100%,100% 65how 004m 004/002ex 100%,100% 55how 026m 006/003ex 096%,100% 65how 032m 008/004ex 100%,100% 45how 018m 002/001ex 082%,100% 65how 018m 002/001ex 100%,                           ---,100% 65how 002m 002/001ex 100%,100% 45how 021m 014/007ex 082%,                           ---,100% 55how 010m 004/002ex 096%,                           ---,100% 65how 017m 004/002ex 100%,                           ---,100% 65how 041m 003/003ex 100%,100% 45how 048m 002/001ex 082%,100% 65how 016m 002/001ex 100%,                           ---,100% 65how 010m 006/003ex 100%,100% 65how 002m 002/001ex 100%,100% 34how 007m 015/005ex 082%,100% 45how 006m 002/001ex 082%,080% 65how 131m 038/019ex 096%
*:2:eh_primo                                      ,100% 55how 064m 118/059ex 096%,                           ---,100% 55how 021m 030/015ex 096%,                           ---,100% 55how 038m 029/013ex 096%,                           ---,100% 55how 075m 028/014ex 096%,                           ---,100% 55how 041m 018/009ex 096%,100% 65how 053m 032/016ex 100%,100% 25how 071m 030/015ex 082%,                           ---,                           ---,100% 65how 141m 074/037ex 100%,100% 65how 003m 002/001ex 100%,100% 45how 028m 012/006ex 082%,000% 00how 000m 000/000ex 000%,100% 54how 004m 004/002ex 096%,100% 65how 080m 005/004ex 100%,                           ---,                           ---,100% 54how 006m 001/001ex 096%,                           ---,100% 45how 047m 010/005ex 082%,                           ---,                           ---,                           ---,                           ---,100% 44how 063m 006/003ex 082%,100% 65how 013m 012/006ex 100%,                           ---,100% 34how 089m 076/038ex 082%,100% 55how 003m 004/002ex 096%,100% 34how 006m 006/003ex 082%,100% 44how 015m 006/003ex 082%,100% 65how 038m 018/009ex 100%
*:2:enesimo                                       ,100% 55how 093m 068/034ex 096%,                           ---,000% 00how 064m 006/003ex 000%,                           ---,100% 55how 040m 014/007ex 096%,                           ---,100% 55how 028m 008/004ex 096%,                           ---,100% 55how 083m 027/013ex 096%,100% 65how 039m 006/003ex 100%,100% 54how 106m 036/026ex 096%,                           ---,                           ---,100% 65how 024m 009/004ex 100%,100% 65how 004m 004/002ex 100%,100% 45how 020m 008/004ex 082%,000% 00how 000m 002/001ex 000%,                           ---,100% 65how 047m 005/004ex 100%,                           ---,                           ---,100% 43how 020m 001/001ex 045%,                           ---,100% 33how 030m 004/002ex 045%,                           ---,                           ---,                           ---,                           ---,100% 44how 060m 048/024ex 082%,                           ---,                           ---,                           ---,000% 00how 001m 002/001ex 000%,100% 34how 095m 009/008ex 082%,100% 24how 004m 001/001ex 082%,100% 45how 039m 090/022ex 082%
*:3:priminhos                                     ,100% 45how 086m 065/030ex 082%,                           ---,100% 55how 033m 020/010ex 096%,                           ---,100% 55how 030m 008/004ex 096%,                           ---,100% 55how 015m 014/007ex 096%,                           ---,100% 55how 090m 014/007ex 096%,100% 65how 045m 026/013ex 100%,100% 65how 032m 012/009ex 100%,                           ---,                           ---,100% 65how 028m 008/004ex 100%,100% 65how 010m 010/005ex 100%,100% 65how 049m 020/010ex 100%,                           ---,                           ---,100% 65how 073m 007/006ex 100%,                           ---,                           ---,100% 23how 008m 004/004ex 045%,                           ---,100% 44how 079m 030/015ex 082%,                           ---,                           ---,                           ---,                           ---,100% 44how 019m 006/003ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 24how 011m 007/005ex 082%,100% 65how 041m 021/010ex 100%
+:10:fractais                                     ,000% 00how 040m 000/000ex 000%,                           ---,000% 00how 001m 000/000ex 000%,100% 33how 010m 001/001ex 045%,000% 00how 077m 000/000ex 000%,                           ---,000% 00how 067m 000/000ex 000%,100% 54how 225m 000/000ex 096%,                           ---,050% 41how 148m 000/000ex 001%,070% 43how 008m 002/001ex 014%,                           ---,100% 55how 004m 000/000ex 096%,070% 34how 102m 000/000ex 036%,                           ---,                           ---,100% 43how 137m 004/002ex 045%,000% 00how 000m 000/000ex 000%,080% 55how 081m 000/000ex 082%,                           ---,050% 00how 204m 012/006ex 000%,070% 43how 266m 000/000ex 014%,                           ---,060% 33how 058m 000/000ex 009%,                           ---,                           ---,000% 00how 074m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 43how 296m 002/001ex 045%,000% 00how 258m 026/013ex 000%,000% 00how 000m 000/000ex 000%,010% 00how 099m 000/000ex 000%,000% 00how 013m 000/000ex 000%,                           ---,090% 24how 010m 006/003ex 070%,000% 00how 038m 000/000ex 000%
*:10:fractais_png                                 ,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,080% 65how 172m 001/000ex 096%,                           ---,                           ---,000% 00how 003m 000/000ex 000%,000% 00how 003m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 002m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,000% 00how 012m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,000% 00how 001m 000/000ex 000%,                           ---,                           ---,                           ---,000% 00how 008m 000/000ex 000%,000% 00how 043m 000/000ex 000%,                           ---,                           ---,010% 55how 020m 000/000ex 001%,000% 00how 008m 000/000ex 000%,                           ---,                           ---,                           ---
*:10:hex                                          ,                           ---,                           ---,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 053m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,000% 00how 002m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 002m 000/000ex 000%,                           ---,000% 00how 009m 004/002ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 041m 007/003ex 000%,                           ---,000% 00how 007m 000/000ex 000%,000% 00how 000m 000/000ex 000%,                           ---,000% 00how 024m 006/003ex 000%,000% 00how 003m 000/000ex 000%,                           ---,                           ---,                           ---
*:1:vetequals                                     ,100% 55how 052m 106/049ex 096%,                           ---,000% 00how 030m 022/011ex 000%,100% 65how 038m 024/012ex 100%,100% 55how 028m 020/010ex 096%,000% 00how 051m 022/011ex 000%,080% 53how 051m 022/011ex 045%,100% 65how 005m 002/001ex 100%,100% 55how 089m 038/019ex 096%,100% 65how 021m 010/005ex 100%,100% 65how 035m 044/022ex 100%,050% 52how 042m 034/018ex 004%,100% 65how 003m 002/001ex 100%,100% 65how 017m 011/005ex 100%,000% 00how 018m 020/010ex 000%,100% 65how 035m 024/012ex 100%,100% 65how 018m 012/006ex 100%,100% 00how 022m 020/010ex 000%,000% 00how 035m 020/010ex 000%,                           ---,000% 00how 047m 036/018ex 000%,100% 55how 042m 018/009ex 096%,                           ---,100% 55how 042m 022/011ex 096%,                           ---,                           ---,                           ---,000% 00how 068m 048/024ex 000%,000% 00how 044m 048/024ex 000%,000% 00how 033m 008/004ex 000%,100% 34how 070m 057/026ex 082%,                           ---,100% 65how 012m 010/005ex 100%,                           ---,020% 21how 042m 020/010ex 001%,100% 65how 029m 029/012ex 100%
=:1:busca-em-profundidade---dfs-depth-first-search,                           026,                           000,                           075,                           051,                           046,                           093,                           018,                           053,                           000,                           096,                           097,                           099,                           095,                           100,                           098,                           082,                           093,                           000,                           088,                           018,                           045,                           036,                           000,                           079,                           000,                           018,                           000,                           000,                           079,                           061,                           015,                           020,                           063,                           035,                           015,                           041
+:0:dfs_bfs_bak                                   ,100% 65how 000m 000/000ex 100%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,000% 04how 001m 000/000ex 000%,100% 65how 000m 000/000ex 100%,100% 65how 001m 000/000ex 100%,100% 65how 001m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 002m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,000% 04how 000m 000/000ex 000%,                           ---,                           ---,                           ---,000% 65how 000m 000/000ex 000%,100% 65how 000m 000/000ex 100%,                           ---,                           ---
+:2:queimada                                      ,100% 55how 182m 066/033ex 096%,                           ---,100% 44how 027m 016/008ex 082%,100% 55how 153m 053/025ex 096%,100% 35how 109m 033/015ex 082%,100% 65how 035m 014/007ex 100%,100% 55how 034m 022/011ex 096%,100% 65how 014m 006/003ex 100%,000% 00how 089m 022/011ex 000%,100% 55how 007m 006/003ex 096%,100% 65how 060m 017/010ex 100%,100% 65how 358m 067/033ex 100%,100% 55how 006m 008/004ex 096%,100% 65how 093m 014/007ex 100%,100% 55how 048m 041/016ex 096%,100% 65how 051m 014/008ex 100%,100% 65how 119m 033/013ex 100%,000% 00how 014m 004/002ex 000%,100% 35how 009m 004/002ex 082%,100% 55how 014m 015/013ex 096%,100% 35how 006m 004/002ex 082%,100% 44how 014m 008/004ex 082%,                           ---,100% 55how 036m 011/008ex 096%,                           ---,100% 65how 012m 004/002ex 100%,000% 00how 007m 015/007ex 000%,                           ---,100% 54how 454m 116/058ex 096%,100% 55how 042m 020/010ex 096%,100% 44how 026m 016/008ex 082%,100% 55how 022m 020/010ex 096%,100% 65how 044m 020/010ex 100%,100% 23how 019m 026/013ex 045%,100% 44how 030m 008/004ex 082%,100% 55how 016m 004/002ex 096%
+:1:ilhas                                         ,100% 55how 052m 024/012ex 096%,                           ---,100% 34how 035m 009/002ex 082%,000% 00how 016m 002/001ex 000%,100% 44how 046m 007/003ex 082%,100% 44how 036m 022/011ex 082%,                           ---,                           ---,                           ---,100% 65how 143m 042/021ex 100%,100% 65how 104m 064/032ex 100%,100% 65how 157m 040/019ex 100%,100% 55how 111m 010/005ex 096%,100% 65how 084m 017/008ex 100%,100% 65how 005m 002/001ex 100%,100% 65how 084m 031/020ex 100%,100% 54how 003m 004/003ex 096%,                           ---,100% 35how 002m 006/003ex 082%,                           ---,                           ---,100% 33how 016m 002/002ex 045%,                           ---,100% 34how 049m 002/001ex 082%,                           ---,                           ---,                           ---,                           ---,100% 54how 077m 010/005ex 096%,100% 55how 012m 004/002ex 096%,                           ---,                           ---,100% 65how 008m 008/004ex 100%,100% 23how 010m 027/020ex 045%,                           ---,                           ---
+:2:queimando                                     ,                           ---,                           ---,100% 34how 035m 008/002ex 082%,100% 65how 031m 024/012ex 100%,100% 43how 016m 004/002ex 045%,100% 34how 051m 007/007ex 082%,                           ---,100% 55how 037m 004/002ex 096%,                           ---,100% 65how 174m 032/016ex 100%,100% 65how 010m 014/005ex 100%,100% 65how 067m 007/005ex 100%,100% 55how 168m 061/030ex 096%,100% 65how 105m 019/009ex 100%,100% 65how 024m 004/002ex 100%,100% 54how 105m 010/007ex 096%,100% 54how 018m 008/007ex 096%,                           ---,100% 55how 007m 008/004ex 096%,000% 00how 037m 007/005ex 000%,100% 45how 032m 018/009ex 082%,100% 23how 063m 005/004ex 045%,                           ---,100% 44how 031m 006/003ex 082%,                           ---,                           ---,                           ---,                           ---,100% 54how 165m 016/008ex 096%,100% 54how 061m 008/007ex 096%,                           ---,                           ---,100% 65how 022m 028/014ex 100%,100% 23how 003m 001/001ex 045%,100% 21how 004m 004/002ex 002%,100% 45how 039m 008/004ex 082%
+:1:cercado                                       ,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,000% 00how 000m 000/000ex 000%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 54how 002m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 65how 025m 000/000ex 100%,100% 55how 000m 000/000ex 096%,100% 65how 001m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 54how 000m 000/000ex 096%,                           ---,100% 24how 001m 000/000ex 082%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 54how 000m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---
+:2:labirinto                                     ,000% 00how 004m 002/001ex 000%,                           ---,100% 34how 099m 014/007ex 082%,100% 44how 125m 081/039ex 082%,100% 45how 122m 028/014ex 082%,100% 55how 042m 014/007ex 096%,                           ---,100% 55how 023m 006/003ex 096%,                           ---,100% 44how 314m 188/094ex 082%,100% 65how 365m 099/050ex 100%,100% 55how 123m 050/025ex 096%,100% 55how 149m 046/023ex 096%,100% 65how 074m 047/023ex 100%,100% 55how 009m 004/002ex 096%,100% 22how 094m 013/008ex 012%,100% 44how 031m 006/003ex 082%,                           ---,100% 45how 126m 036/018ex 082%,000% 00how 000m 002/001ex 000%,100% 44how 029m 010/005ex 082%,000% 00how 098m 018/006ex 000%,                           ---,100% 44how 095m 006/003ex 082%,                           ---,                           ---,                           ---,                           ---,100% 54how 060m 006/003ex 096%,100% 55how 013m 012/006ex 096%,                           ---,100% 22how 218m 062/031ex 012%,100% 55how 034m 012/006ex 096%,100% 24how 024m 014/007ex 082%,000% 00how 071m 000/000ex 000%,100% 33how 022m 110/045ex 045%
+:1:pintura                                       ,                           ---,                           ---,100% 34how 001m 000/000ex 082%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 002m 000/000ex 100%,100% 54how 000m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 54how 000m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,100% 54how 001m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,100% 54how 060m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
+:1:longest                                       ,                           ---,                           ---,100% 44how 004m 000/000ex 082%,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,                           ---,100% 65how 001m 000/000ex 100%,090% 24how 000m 000/000ex 070%,100% 65how 000m 000/000ex 100%,100% 24how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 24how 000m 000/000ex 082%,100% 24how 000m 000/000ex 082%,                           ---,100% 24how 000m 000/000ex 082%,                           ---,                           ---,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,                           ---,                           ---,000% 04how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
+:1:battleship                                    ,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 006m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 005m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 54how 000m 000/000ex 096%,                           ---,100% 65how 001m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,                           ---,                           ---,000% 04how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
=:1:busca-em-largura---bfs-breadth-first-search===,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000
*:3:caminho                                       ,                           ---,                           ---,                           ---,000% 00how 007m 005/001ex 000%,100% 24how 019m 002/002ex 082%,                           ---,                           ---,                           ---,                           ---,100% 65how 126m 140/076ex 100%,100% 24how 133m 015/009ex 082%,                           ---,000% 00how 004m 002/001ex 000%,100% 65how 122m 011/005ex 100%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 44how 082m 010/004ex 082%,                           ---,000% 00how 010m 000/000ex 000%,                           ---,                           ---,100% 34how 040m 009/006ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 23how 140m 026/018ex 045%,                           ---,000% 00how 003m 002/001ex 000%
*:1:rotten                                        ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:1:detonate                                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:1:escapeSpread                                  ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
=:1:algoritmo-de-retrocesso---backtracking========,                           000,                           000,                           082,                           109,                           247,                           000,                           000,                           000,                           000,                           274,                           087,                           179,                           000,                           199,                           223,                           000,                           082,                           000,                           152,                           000,                           049,                           000,                           000,                           176,                           000,                           000,                           000,                           000,                           000,                           333,                           000,                           000,                           000,                           134,                           000,                           082
+:2:wordsearch                                    ,                           ---,                           ---,                           ---,                           ---,050% 24how 035m 004/002ex 012%,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,050% 44how 048m 008/005ex 012%,050% 65how 113m 017/011ex 050%,                           ---,100% 65how 084m 012/010ex 100%,                           ---,000% 00how 015m 001/001ex 000%,000% 00how 000m 000/000ex 000%,                           ---,050% 65how 047m 012/007ex 050%,                           ---,000% 00how 000m 001/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 037m 018/009ex 000%,000% 00how 012m 001/001ex 000%,                           ---,000% 00how 000m 000/000ex 000%
+:3:pilhado                                       ,                           ---,                           ---,                           ---,100% 23how 050m 056/028ex 045%,100% 24how 031m 003/003ex 082%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 54how 177m 034/017ex 096%,000% 00how 138m 035/026ex 000%,100% 65how 305m 067/040ex 100%,000% 00how 049m 002/001ex 000%,100% 65how 115m 038/019ex 100%,100% 54how 107m 030/015ex 096%,                           ---,                           ---,                           ---,100% 24how 117m 011/004ex 082%,                           ---,100% 34how 020m 014/007ex 082%,                           ---,                           ---,100% 44how 040m 019/015ex 082%,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 55how 023m 004/002ex 096%,                           ---,                           ---,                           ---,000% 00how 001m 002/001ex 000%,                           ---,                           ---
*:5:distancia                                     ,                           ---,                           ---,100% 34how 013m 004/002ex 082%,                           ---,000% 00how 043m 010/009ex 000%,                           ---,090% 50how 001m 006/003ex 000%,                           ---,                           ---,100% 43how 248m 180/090ex 045%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 65how 334m 091/045ex 100%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,100% 33how 121m 012/006ex 045%,                           ---,                           ---,                           ---,                           ---,000% 00how 032m 000/000ex 000%,100% 54how 015m 001/001ex 096%,                           ---,                           ---,                           ---,100% 33how 009m 027/010ex 045%,                           ---,000% 00how 000m 000/000ex 000%
*:10:sudoku                                       ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 43how 274m 162/081ex 045%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 44how 019m 008/004ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,000% 00how 022m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,100% 33how 015m 014/007ex 045%,                           ---,                           ---
*:5:subset_sum                                    ,                           ---,                           ---,                           ---,100% 34how 048m 028/014ex 082%,100% 54how 013m 002/002ex 096%,000% 00how 000m 000/000ex 000%,                           ---,100% 04how 016m 031/015ex 000%,                           ---,100% 34how 043m 017/013ex 082%,100% 34how 016m 011/007ex 082%,100% 65how 032m 019/012ex 100%,                           ---,                           ---,                           ---,000% 00how 002m 000/000ex 000%,100% 34how 017m 003/002ex 082%,                           ---,100% 34how 020m 003/003ex 082%,                           ---,000% 00how 054m 014/011ex 000%,                           ---,                           ---,100% 14how 026m 002/002ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 34how 016m 003/003ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 34how 026m 006/005ex 082%
*:5:n_rainhas                                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 54how 016m 001/001ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:5:permutacoes                                   ,                           ---,                           ---,                           ---,                           ---,100% 54how 017m 001/001ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
=:1:vetor=========================================,                           057,                           000,                           072,                           087,                           093,                           059,                           036,                           096,                           043,                           098,                           089,                           060,                           097,                           100,                           089,                           048,                           058,                           000,                           054,                           057,                           037,                           073,                           000,                           073,                           000,                           000,                           000,                           003,                           096,                           078,                           037,                           021,                           100,                           072,                           021,                           098
