SIMPLE                                            ,               Beeatriz-Castro,               CarlaCristinaSA,                 ClidenorFilho,                 Douglas-glith,              EduardoAlmeida10,               Emilly-Pinheiro,                     GuibasURL,               HenriqueSenaDev,                        JGCL24,                 Joao-Vitor-Rd,                 KeltonMartins,              Layssaoliveira26,                       Lipez-x,         Paulo-Sergio-Oliveira,                 Randson-Silva,                     TobiasTac,                     Victorbvc,                      abebuh21,                  alvesmaarcos,                     anaradlei,                 annabeatryz31,                 cauanrricardo,              davyanastaciodev,                     dsfacundo,               eduardaffreitas,                  fco-henrique,                gabrielrbsousa,                      harielfr,                higormcarnauba,                   jppiauilino,                   kawantorres,                kaylannesatiro,              lizandrapinheiro,                         mczm9,                   pamellaneco,                  rudriguu2099
+:6:princesa                                      ,100% 55how 081m 079/037ex 096%,000% 00how 000m 000/000ex 000%,100% 34how 042m 020/010ex 082%,100% 35how 153m 074/037ex 082%,100% 44how 014m 016/008ex 082%,100% 45how 146m 046/023ex 082%,100% 55how 062m 054/027ex 096%,100% 55how 006m 002/001ex 096%,100% 55how 401m 152/074ex 096%,100% 55how 081m 066/027ex 096%,100% 65how 215m 179/083ex 100%,100% 54how 079m 022/011ex 096%,100% 45how 251m 120/060ex 082%,100% 65how 352m 064/029ex 100%,100% 64how 036m 006/000ex 096%,100% 65how 196m 065/033ex 100%,100% 44how 071m 032/016ex 082%,100% 44how 031m 002/001ex 082%,100% 44how 201m 078/039ex 082%,000% 00how 000m 000/000ex 000%,100% 33how 015m 006/003ex 045%,100% 34how 055m 018/006ex 082%,000% 00how 000m 000/000ex 000%,100% 33how 050m 012/006ex 045%,                           ---,100% 45how 130m 036/018ex 082%,000% 00how 000m 006/003ex 000%,100% 55how 301m 033/015ex 096%,100% 54how 224m 036/018ex 096%,100% 54how 019m 016/008ex 096%,100% 33how 031m 014/007ex 045%,000% 00how 081m 006/003ex 000%,100% 55how 041m 032/016ex 096%,100% 33how 095m 047/022ex 045%,100% 34how 082m 020/010ex 082%,100% 45how 180m 056/028ex 082%
+:4:apagando                                      ,100% 55how 060m 020/010ex 096%,                           ---,100% 45how 060m 040/020ex 082%,060% 33how 040m 017/007ex 009%,100% 33how 039m 018/009ex 045%,100% 65how 024m 012/006ex 100%,100% 65how 081m 046/023ex 100%,100% 55how 052m 012/006ex 096%,100% 55how 217m 091/044ex 096%,100% 55how 036m 024/012ex 096%,100% 55how 196m 137/060ex 096%,100% 54how 118m 018/009ex 096%,100% 55how 161m 060/030ex 096%,100% 55how 066m 027/013ex 096%,000% 00how 002m 000/000ex 000%,100% 55how 056m 010/005ex 096%,100% 34how 097m 060/030ex 082%,000% 00how 000m 000/000ex 000%,100% 55how 145m 028/014ex 096%,100% 65how 089m 037/028ex 100%,100% 33how 069m 022/011ex 045%,100% 35how 056m 036/018ex 082%,                           ---,100% 33how 004m 002/001ex 045%,                           ---,100% 55how 046m 024/012ex 096%,                           ---,100% 65how 052m 030/015ex 100%,100% 54how 074m 046/023ex 096%,100% 45how 010m 012/006ex 082%,100% 24how 079m 049/017ex 082%,100% 11how 043m 008/004ex 002%,100% 55how 028m 022/011ex 096%,100% 44how 294m 252/107ex 082%,100% 44how 041m 014/007ex 082%,100% 35how 053m 059/018ex 082%
+:9:manipulacao                                   ,100% 45how 056m 026/013ex 082%,                           ---,100% 44how 074m 052/026ex 082%,100% 45how 075m 022/011ex 082%,100% 44how 130m 024/012ex 082%,100% 45how 219m 048/024ex 082%,100% 55how 039m 010/005ex 096%,100% 55how 072m 010/005ex 096%,100% 55how 572m 332/166ex 096%,100% 65how 004m 008/004ex 100%,100% 65how 077m 002/001ex 100%,080% 64how 576m 249/122ex 082%,100% 65how 272m 084/042ex 100%,100% 65how 300m 094/047ex 100%,000% 00how 000m 000/000ex 000%,100% 44how 082m 022/011ex 082%,100% 43how 109m 022/011ex 045%,                           ---,100% 45how 144m 016/008ex 082%,000% 00how 000m 004/002ex 000%,080% 44how 096m 037/017ex 053%,100% 34how 084m 016/008ex 082%,                           ---,100% 23how 056m 004/002ex 045%,                           ---,100% 44how 028m 008/004ex 082%,                           ---,100% 45how 204m 076/038ex 082%,100% 54how 208m 052/026ex 096%,100% 54how 013m 014/007ex 096%,100% 24how 203m 187/044ex 082%,000% 00how 000m 000/000ex 000%,100% 55how 027m 018/009ex 096%,100% 24how 011m 019/009ex 082%,100% 23how 163m 030/015ex 045%,100% 65how 133m 042/021ex 100%
+:15:especiais                                    ,000% 00how 018m 004/002ex 000%,                           ---,100% 34how 160m 050/025ex 082%,100% 65how 343m 248/121ex 100%,100% 44how 365m 102/051ex 082%,100% 55how 707m 186/093ex 096%,000% 00how 000m 002/001ex 000%,100% 55how 301m 018/009ex 096%,100% 55how 627m 370/181ex 096%,100% 44how 279m 118/059ex 082%,100% 24how 041m 004/002ex 082%,090% 65how 694m 351/174ex 099%,100% 65how 381m 120/060ex 100%,100% 65how 373m 067/034ex 100%,                           ---,100% 23how 199m 038/019ex 045%,100% 23how 032m 038/019ex 045%,                           ---,080% 44how 333m 030/015ex 053%,000% 00how 000m 002/001ex 000%,100% 34how 097m 030/015ex 082%,100% 34how 012m 014/007ex 082%,                           ---,100% 54how 184m 065/042ex 096%,                           ---,100% 55how 112m 022/011ex 096%,000% 00how 050m 021/010ex 000%,100% 45how 471m 098/049ex 082%,100% 65how 243m 022/010ex 100%,100% 45how 106m 008/004ex 082%,100% 24how 039m 008/004ex 082%,000% 00how 000m 000/000ex 000%,100% 55how 031m 016/008ex 096%,100% 43how 023m 032/015ex 045%,100% 23how 036m 011/010ex 045%,100% 44how 307m 094/047ex 082%
*:3:buscas                                        ,100% 55how 116m 054/027ex 096%,                           ---,100% 34how 013m 004/002ex 082%,                           ---,100% 55how 025m 018/009ex 096%,000% 00how 000m 000/000ex 000%,100% 55how 077m 006/003ex 096%,                           ---,100% 55how 160m 100/050ex 096%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,100% 65how 060m 013/006ex 100%,                           ---,000% 00how 004m 000/000ex 000%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 24how 007m 022/011ex 082%,                           ---,100% 54how 023m 003/003ex 096%,                           ---,                           ---,                           ---,                           ---,100% 65how 083m 006/003ex 100%,                           ---,                           ---,                           ---,                           ---,100% 24how 105m 021/019ex 082%,                           ---,100% 64how 110m 016/008ex 096%
*:3:rotacoes                                      ,000% 00how 032m 014/007ex 000%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,100% 55how 086m 028/014ex 096%,                           ---,100% 65how 039m 038/019ex 100%,                           ---,                           ---,100% 65how 056m 025/012ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 14how 003m 002/001ex 082%,                           ---,100% 54how 034m 006/006ex 096%,                           ---,                           ---,                           ---,                           ---,000% 00how 004m 000/000ex 000%,100% 55how 045m 028/014ex 096%,                           ---,                           ---,                           ---,100% 34how 028m 013/009ex 082%,                           ---,000% 00how 000m 000/000ex 000%
*:4:alternando                                    ,100% 55how 109m 034/017ex 096%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 65how 092m 020/010ex 100%,                           ---,100% 55how 014m 008/004ex 096%,                           ---,000% 00how 001m 002/001ex 000%,100% 65how 094m 056/028ex 100%,100% 23how 145m 012/006ex 045%,                           ---,000% 45how 146m 050/025ex 000%,100% 55how 657m 186/093ex 096%,                           ---,100% 55how 368m 060/030ex 096%,                           ---,                           ---,000% 00how 006m 000/000ex 000%,                           ---,000% 00how 010m 000/000ex 000%,000% 00how 006m 005/003ex 000%,                           ---,000% 00how 025m 000/000ex 000%,                           ---,100% 65how 062m 008/004ex 100%,                           ---,000% 00how 005m 000/000ex 000%,100% 62how 107m 054/027ex 025%,000% 00how 000m 000/000ex 000%,100% 14how 032m 013/010ex 082%,                           ---,100% 55how 002m 000/000ex 096%,                           ---,100% 24how 056m 002/002ex 082%,100% 43how 097m 046/019ex 045%
=:1:recursão======================================,                           102,                           000,                           065,                           085,                           106,                           092,                           105,                           102,                           084,                           088,                           112,                           066,                           124,                           130,                           079,                           106,                           086,                           030,                           133,                           038,                           031,                           095,                           000,                           098,                           000,                           043,                           000,                           038,                           105,                           041,                           023,                           030,                           081,                           069,                           107,                           104
*:3:crec_view                                     ,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,                           ---,100% 55how 000m 000/000ex 096%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 44how 000m 000/000ex 082%,                           ---,100% 65how 000m 000/000ex 100%
*:1:rec_read                                      ,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,                           ---,100% 55how 000m 000/000ex 096%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 54how 000m 000/000ex 096%,                           ---,100% 65how 001m 000/000ex 100%
