SIMPLE                                            ,3301naoki,Aaron-GMM,Arthur32p,Blackberry216,Brieloki,Daniel-jacodev,DevJLucasTM,DevJulioEmanuel,EstherAzevedo,GerasDeveloper,Henriwi-MS,JessLim2003,KauaLemos,KpSantiago,Luishma34,Pri-Holanda,RafaelSantosS12,Ricardolg11,SabrinaDamascenoDev,Sinh-0,Temporary95Name,Vitoria-Rabelo,Wallisonnobrex,alvwsk,atilacalisto,caduteix,ceciliaabintes,eduspicod,evyhdev,gabreidiasvl,jardesonmagalhaes,joAo-dav1,mateus124,narciso-roberto,rgcastrof,ruan-raujo,vistomia
=:1:revisão-fup===================================,      118,      132,      129,          095,     116,           125,        074,            129,          103,           080,       075,        118,      062,       108,      133,        116,            061,        114,                132,   073,            000,           126,           000,   117,         129,     061,           083,      106,    103,         094,              113,      118,      129,            129,      090,       103,     121
+:1:pintando                                      ,      082,      100,      096,          100,     000,           096,        096,            096,          096,           000,       100,        096,      082,       096,      100,        100,            082,        100,                100,   096,            000,           100,           000,   082,         096,     045,           096,      096,    096,         096,              096,      096,      096,            096,      082,       082,     082
+:2:mumia                                         ,      096,      100,      096,          082,     096,           096,        096,            096,          096,           096,       100,        096,      082,       096,      100,        096,            082,        096,                100,   096,            000,           100,           ---,   082,         096,     096,           082,      096,    082,         096,              096,      096,      096,            096,      096,       096,     100
+:2:fuga                                          ,      100,      100,      096,          100,     096,           096,        082,            096,          082,           096,       100,        082,      082,       096,      100,        096,            082,        082,                096,   096,            000,           100,           ---,   096,         096,     082,           096,      082,    082,         096,              082,      096,      096,            096,      096,       082,     100
+:2:pedra                                         ,      100,      096,      096,          100,     096,           096,        070,            096,          082,           082,       100,        082,      082,       096,      100,        096,            096,        082,                096,   096,            000,           066,           ---,   082,         096,     082,           082,      082,    096,         082,              082,      096,      096,            096,      012,       082,     096
+:2:casais                                        ,      082,      096,      096,          096,     092,           100,        070,            096,          096,           082,       100,        082,      082,       096,      100,        096,            045,        082,                100,   096,            000,           096,           ---,   082,         096,     082,           045,      096,    096,         082,              082,      082,      096,            096,      082,       082,     082
+:3:baruel                                        ,      082,      100,      096,          096,     082,           100,        022,            096,          082,           082,       000,        082,      000,       082,      100,        045,            012,        082,                100,   000,            000,           100,           ---,   082,         096,     000,           096,      045,    082,         045,              082,      082,      096,            096,      012,       045,     096
*:4:gomos                                         ,      082,      100,      096,          000,     096,           082,        022,            096,          045,           000,       ---,        096,      000,       045,      100,        096,            ---,        082,                100,   000,            ---,           096,           ---,   096,         096,     000,           ---,      082,    045,         045,              082,      082,      096,            096,      096,       082,     082
=:1:análise-otimizando-resoluções=================,      097,      106,      095,          082,     078,           065,        033,            077,          073,           102,       045,        123,      019,       082,      116,        116,            050,        087,                106,   064,            000,           098,           000,   079,         026,     082,           027,      085,    065,         035,              100,      099,      096,            091,      030,       080,     092
+:2:analise                                       ,      100,      ---,      000,          ---,     100,           096,        100,            100,          000,           099,       100,        100,      ---,       ---,      100,        100,            ---,        100,                100,   ---,            ---,           100,           ---,   ---,         096,     100,           100,      100,    100,         096,              096,      096,      100,            000,      100,       096,     096
+:6:princesa                                      ,      096,      096,      075,          096,     096,           096,        100,            045,          045,           096,       045,        096,      082,       096,      100,        096,            045,        082,                096,   082,            000,           082,           ---,   082,         000,     082,           082,      082,    082,         000,              082,      082,      096,            096,      002,       082,     100
+:4:apagando                                      ,      096,      082,      096,          096,     096,           096,        032,            082,          096,           082,       100,        096,      045,       096,      100,        100,            045,        082,                096,   002,            000,           082,           ---,   096,         000,     082,           012,      096,    096,         000,              096,      096,      100,            096,      012,       082,     096
+:9:manipulacao                                   ,      096,      096,      096,          082,     045,           096,        022,            082,          082,           082,       082,        096,      000,       082,      100,        100,            012,        082,                100,   082,            ---,           096,           ---,   082,         082,     012,           006,      082,    082,         045,              070,      082,      082,            096,      045,       070,     045
+:15:especiais                                    ,      096,      096,      075,          082,     082,           002,        005,            082,          082,           082,       000,        096,      000,       082,      100,        100,            082,        082,                096,   045,            ---,           066,           ---,   082,         000,     082,           012,      045,    000,         045,              070,      082,      082,            096,      002,       082,     096
*:3:buscas                                        ,      ---,      096,      096,          000,     ---,           096,        ---,            ---,          ---,           082,       000,        096,      ---,       ---,      100,        100,            ---,        000,                100,   082,            000,           100,           ---,   ---,         ---,     082,           000,      096,    096,         000,              082,      082,      000,            ---,      045,       ---,     100
*:3:rotacoes                                      ,      ---,      096,      096,          ---,     ---,           000,        ---,            ---,          ---,           096,       000,        096,      ---,       ---,      100,        100,            ---,        045,                000,   045,            000,           096,           ---,   ---,         ---,     075,           000,      096,    082,         ---,              096,      082,      096,            ---,      082,       ---,     ---
*:4:alternando                                    ,      ---,      000,      000,          ---,     ---,           000,        ---,            ---,          ---,           014,       000,        096,      ---,       ---,      000,        000,            ---,        ---,                000,   000,            000,           014,           ---,   ---,         ---,     032,           000,      000,    ---,         ---,              082,      003,      ---,            000,      ---,       ---,     000
=:1:recursão======================================,      087,      089,      161,          097,     091,           114,        072,            061,          078,           093,       118,        109,      038,       059,      111,        095,            068,        105,                116,   061,            000,           123,           000,   071,         057,     086,           023,      133,    100,         025,              083,      100,      112,            088,      034,       066,     087
*:3:crec_view                                     ,      000,      ---,      100,          100,     096,           100,        100,            100,          000,           082,       100,        100,      ---,       ---,      100,        000,            100,        096,                ---,   ---,            ---,           100,           ---,   000,         ---,     100,           ---,      100,    100,         ---,              096,      096,      096,            096,      ---,       096,     ---
*:1:rec_read                                      ,      000,      000,      100,          100,     096,           100,        100,            100,          ---,           096,       100,        100,      ---,       ---,      100,        100,            100,        100,                ---,   ---,            ---,           100,           ---,   000,         ---,     000,           ---,      100,    100,         096,              096,      096,      096,            096,      ---,       096,     ---
+:2:triangulo                                     ,      100,      100,      096,          082,     100,           096,        ---,            045,          082,           082,       100,        100,      096,       096,      100,        100,            045,        045,                100,   082,            000,           096,           ---,   096,         000,     045,           045,      082,    096,         045,              070,      082,      096,            096,      082,       096,     096
+:4:treinando                                     ,      096,      100,      096,          070,     100,           058,        ---,            082,          082,           082,       082,        096,      100,       096,      100,        100,            045,        045,                096,   002,            ---,           096,           ---,   096,         096,     045,           045,      045,    096,         045,              022,      082,      082,            082,      002,       082,     096
+:1:resto                                         ,      100,      100,      096,          100,     100,           096,        100,            096,          100,           096,       100,        100,      000,       096,      100,        100,            082,        096,                096,   096,            ---,           100,           ---,   100,         096,     096,           045,      082,    100,         082,              096,      096,      096,            096,      082,       082,     100
+:1:mdc                                           ,      096,      100,      082,          000,     100,           100,        ---,            096,          082,           100,       100,        100,      ---,       096,      100,        100,            096,        082,                096,   100,            ---,           100,           ---,   100,         100,     100,           002,      082,    096,         ---,              082,      096,      100,            096,      100,       096,     100
*:2:eh_primo                                      ,      096,      100,      096,          100,     ---,           082,        100,            ---,          096,           100,       000,        100,      ---,       096,      100,        100,            082,        082,                100,   082,            ---,           096,           ---,   100,         ---,     100,           ---,      082,    082,         ---,              096,      096,      ---,            096,      045,       ---,     100
*:2:enesimo                                       ,      096,      100,      096,          100,     ---,           082,        100,            ---,          096,           096,       000,        100,      ---,       ---,      100,        100,            045,        082,                096,   100,            ---,           096,           ---,   096,         ---,     096,           ---,      082,    082,         ---,              082,      096,      ---,            096,      045,       ---,     100
*:3:priminhos                                     ,      096,      100,      096,          100,     ---,           082,        100,            ---,          082,           082,       000,        096,      ---,       ---,      100,        100,            045,        082,                ---,   096,            ---,           100,           ---,   000,         ---,     096,           ---,      082,    082,         ---,              082,      082,      ---,            000,      ---,       ---,     100
+:10:fractais                                     ,      000,      001,      096,          000,     036,           036,        ---,            000,          001,           000,       000,        000,      ---,       000,      000,        001,            000,        002,                082,   000,            ---,           036,           ---,   000,         045,     000,           000,      082,    000,         000,              000,      000,      082,            000,      000,       000,     000
*:10:fractais_png                                 ,      ---,      ---,      ---,          ---,     ---,           ---,        ---,            ---,          ---,           ---,       ---,        000,      ---,       ---,      ---,        000,            ---,        002,                ---,   ---,            ---,           000,           ---,   ---,         ---,     ---,           ---,      ---,    ---,         ---,              ---,      000,      ---,            ---,      ---,       ---,     ---
*:10:hex                                          ,      ---,      000,      000,          ---,     ---,           000,        ---,            000,          ---,           ---,       100,        000,      ---,       ---,      ---,        000,            000,        045,                000,   ---,            ---,           000,           ---,   000,         ---,     ---,           ---,      ---,    000,         ---,              000,      000,      000,            000,      000,       ---,     000
*:1:vetequals                                     ,      100,      100,      096,          100,     100,           096,        100,            096,          082,           000,       000,        100,      096,       100,      100,        100,            000,        ---,                100,   082,            ---,           000,           ---,   100,         ---,     100,           096,      096,    045,         ---,              096,      096,      096,            100,      082,       096,     100
=:1:busca-em-profundidade---dfs-depth-first-search,      033,      099,      096,          015,     069,           035,        010,            033,          077,           058,       036,        077,      018,       033,      099,        100,            017,        022,                087,   018,            000,           072,           000,   018,         062,     057,           004,      048,    033,         018,              079,      066,      099,            088,      040,       033,     018
